transaction_id,customer_id,transaction_date,product,category,quantity,unit_price,discount_pct,amount,city
T0001,CUST070,2026-05-03,T-Shirt,Fashion,1,900,20.0,720.0,Jaipur
T0002,CUST065,2026-01-21,Coffee Maker,Home,3,4500,20.0,10800.0,Mumbai
T0003,CUST024,2026-01-31,Backpack,Accessories,1,1600,15.0,1360.0,Lucknow
T0004,CUST073,2026-06-18,Coffee Maker,Home,1,4500,15.0,3825.0,Jaipur
T0005,CUST075,2026-06-21,Headphones,Electronics,2,2500,5.0,4750.0,Bengaluru
T0006,CUST041,2026-04-28,Smartphone,Electronics,1,28000,10.0,25200.0,Mumbai
T0007,CUST041,2026-06-09,Laptop,Electronics,3,65000,15.0,165750.0,Mumbai
T0008,CUST073,2026-03-09,Coffee Maker,Home,3,4500,20.0,10800.0,Jaipur
T0009,CUST017,2026-03-14,T-Shirt,Fashion,2,900,10.0,1620.0,Delhi
T0010,CUST021,2026-06-17,Jeans,Fashion,1,1800,20.0,1440.0,Bengaluru
T0011,CUST068,2026-02-04,Jeans,Fashion,1,1800,0.0,1800.0,Patna
T0012,CUST034,2026-03-14,Coffee Maker,Home,1,4500,10.0,4050.0,Jaipur
T0013,CUST027,2026-05-10,Sneakers,Fashion,1,3200,10.0,2880.0,Jaipur
T0014,CUST063,2026-06-12,Laptop,Electronics,1,65000,0.0,65000.0,Lucknow
T0015,CUST055,2026-06-13,Office Chair,Home,2,8500,5.0,16150.0,Patna
T0016,CUST034,2026-01-03,Office Chair,Home,1,8500,20.0,6800.0,Jaipur
T0017,CUST015,2026-01-10,Smartphone,Electronics,1,28000,20.0,22400.0,Delhi
T0018,CUST048,2026-03-20,T-Shirt,Fashion,2,900,0.0,1800.0,Pune
T0019,CUST047,2026-02-23,Laptop,Electronics,2,65000,10.0,117000.0,Mumbai
T0020,CUST032,2026-02-09,Watch,Accessories,2,5500,20.0,8800.0,Mumbai
T0021,CUST031,2026-01-07,Smartphone,Electronics,2,28000,15.0,47600.0,Patna
T0022,CUST023,2026-03-10,Jeans,Fashion,3,1800,5.0,5130.0,Patna
T0023,CUST021,2026-02-26,T-Shirt,Fashion,2,900,15.0,1530.0,Bengaluru
T0024,CUST026,2026-02-27,Watch,Accessories,3,5500,5.0,15675.0,Jaipur
T0025,CUST004,2026-03-13,Headphones,Electronics,1,2500,0.0,2500.0,Patna
T0026,CUST045,2026-01-08,Smartphone,Electronics,3,28000,10.0,75600.0,Jaipur
T0027,CUST015,2026-01-10,Smartphone,Electronics,2,28000,10.0,50400.0,Delhi
T0028,CUST014,2026-06-05,Office Chair,Home,2,8500,15.0,14450.0,Kolkata
T0029,CUST066,2026-01-12,T-Shirt,Fashion,1,900,10.0,810.0,Delhi
T0030,CUST056,2026-04-04,Watch,Accessories,1,5500,5.0,5225.0,Bengaluru
T0031,CUST056,2026-03-22,Sneakers,Fashion,1,3200,20.0,2560.0,Bengaluru
T0032,CUST016,2026-03-25,Headphones,Electronics,3,2500,15.0,6375.0,Kolkata
T0033,CUST052,2026-06-20,Coffee Maker,Home,1,4500,15.0,3825.0,Delhi
T0034,CUST049,2026-03-19,Office Chair,Home,2,8500,20.0,13600.0,Bengaluru
T0035,CUST052,2026-04-21,Office Chair,Home,1,8500,5.0,8075.0,Delhi
